Inference Latency (ms),Prediction,Input Text,Timestamp
33.15,NEGATIVE,The quality is terrible and the price is outrageous absolutely no value for money,2025-03-17T19:09:54.959595
38.08,NEGATIVE,I had a terrible time and would strongly advise everyone to avoid this place in the future,2025-03-17T19:09:55.102824
30.39,NEGATIVE,The atmosphere was unpleasant and the whole experience was incredibly disappointing,2025-03-17T19:09:55.246465
39.37,NEGATIVE,I could not be more unhappy with the result completely unacceptable and unprofessional work,2025-03-17T19:09:55.389424
29.76,NEGATIVE,While the plot was confusing the acting was superb but the ending made little sense What did you think,2025-03-17T19:09:55.521986
32.88,NEGATIVE,Although it started promisingly the second half of the book really let me down which is a shame,2025-03-17T19:09:55.637429
32.91,POSITIVE,Despite some initial flaws the product ultimately delivered on its promises surprisingly,2025-03-17T19:09:55.769519
40.30,POSITIVE,Even though it rained all day we still managed to have a good time can you believe it,2025-03-17T19:09:55.915405
29.49,POSITIVE,Considering the price the quality is acceptable but is it really worth the money in the long run,2025-03-17T19:09:56.064933
33.52,NEGATIVE,While I appreciate the effort the final result is simply not up to par unfortunately,2025-03-17T19:09:56.188717
32.61,NEGATIVE,Although I had high hopes the experience was ultimately underwhelming and forgettable sadly,2025-03-17T19:09:56.359979
36.43,NEGATIVE,Despite the positive reviews I found it to be quite mediocre and not particularly memorable to be honest,2025-03-17T19:09:56.490654
48.69,NEGATIVE,Even with the discounts I am not sure if it is a good deal what do you think about the value proposition,2025-03-17T19:09:56.684044
33.79,NEGATIVE,While some aspects were well done the overall impression was rather disappointing wouldnt you agree,2025-03-17T19:09:56.852398
27.89,POSITIVE,Container orchestration in Docker Swarm is essential for scalability,2025-03-17T19:09:56.971015
34.32,POSITIVE,Latency and throughput are key metrics for LLM inference performance,2025-03-17T19:09:57.175372
27.46,POSITIVE,Network topology significantly impacts distributed systems,2025-03-17T19:09:57.352919
31.96,NEGATIVE,Bash scripts can be used for IT automation,2025-03-17T19:09:57.464560
33.07,POSITIVE,Distributed topology involves remote sites,2025-03-17T19:09:57.607961
26.43,NEGATIVE,Mesh networks in Docker Swarm may have performance penalties,2025-03-17T19:09:57.738083
28.25,NEGATIVE,Large language model prompts can be complex,2025-03-17T19:09:57.854628
31.75,NEGATIVE,Poor Swarm performance can lead to lag,2025-03-17T19:09:57.991023
31.14,POSITIVE,LLMs explore latency throughput and cost,2025-03-17T19:09:58.116900
28.09,NEGATIVE,New bash scripts can be generated by LLMs,2025-03-17T19:09:58.241049
42.96,POSITIVE,The advancements in large language models have been truly remarkable in recent years Their ability to understand and generate human like text is transforming various industries and applications From natural language processing to content creation the potential is vast,2025-03-17T19:09:58.382394
42.37,POSITIVE,Despite the excitement there are also valid concerns regarding the ethical implications of increasingly powerful LLMs Issues such as bias in training data the potential for misuse and the societal impact of automation need careful consideration and responsible development practices,2025-03-17T19:09:58.506588
40.00,NEGATIVE,The performance of distributed systems is heavily influenced by network topology Choosing the right network structure is crucial for ensuring scalability reliability and efficient communication between components especially in demanding applications like distributed LLM inference,2025-03-17T19:09:58.660965
39.96,NEGATIVE,While Docker Swarm offers built in mesh networking for service discovery it is important to be aware of potential performance overhead associated with mesh topologies in certain scenarios Careful monitoring and performance testing are recommended to optimize Swarm deployments,2025-03-17T19:09:58.821494
60.67,POSITIVE,Timothee Lacroix CTO of Mistral discussed exploring the latency throughput and cost space for LLM inference highlighting the importance of optimizing these factors for practical LLM deployments Understanding these trade offs is crucial for real world applications,2025-03-17T19:09:59.024744
39.16,NEGATIVE,The newly created Docker Swarm cluster exhibited surprisingly poor performance with significant lag observed when interacting with the cluster management interface particularly through Portainer indicating potential architectural bottlenecks,2025-03-17T19:09:59.195411
40.75,NEGATIVE,Bash one liners and even more complex scripts can be effectively leveraged for various IT automation tasks and advanced large language models can even assist in generating these scripts for system reliability engineering and other domains,2025-03-17T19:09:59.332077
34.43,POSITIVE,In a distributed topology a common architecture involves deploying application components across multiple geographically dispersed remote sites enhancing resilience and proximity to end users,2025-03-17T19:09:59.465230
41.15,POSITIVE,Generating custom bash scripts using sophisticated 70B parameter LLMs integrated directly into the shell environment represents a cutting edge approach to automating and streamlining system administration and development workflows,2025-03-17T19:09:59.613403
40.21,POSITIVE,Understanding the intricate interplay between latency throughput and cost is paramount when deploying large language models for inference in production environments demanding careful optimization and resource management,2025-03-17T19:09:59.784039
27.74,NEGATIVE,Testing latency for repeated query,2025-03-17T19:09:59.933117
27.67,NEGATIVE,Testing latency for repeated query,2025-03-17T19:10:00.066347
31.28,NEGATIVE,Testing latency for repeated query,2025-03-17T19:10:00.244721
26.67,NEGATIVE,Testing latency for repeated query,2025-03-17T19:10:00.349138
29.87,NEGATIVE,Testing latency for repeated query,2025-03-17T19:10:00.470206
26.40,NEGATIVE,Testing latency for repeated query,2025-03-17T19:10:00.587421
33.71,NEGATIVE,Testing latency for repeated query,2025-03-17T19:10:00.728542
25.34,NEGATIVE,Testing latency for repeated query,2025-03-17T19:10:00.889478
26.26,NEGATIVE,Testing latency for repeated query,2025-03-17T19:10:01.050034
24.90,NEGATIVE,Testing latency for repeated query,2025-03-17T19:10:01.174793
26.26,NEGATIVE,Another latency measurement for consistency check,2025-03-17T19:10:01.305732
31.76,NEGATIVE,Another latency measurement for consistency check,2025-03-17T19:10:01.466226
23.93,NEGATIVE,Another latency measurement for consistency check,2025-03-17T19:10:01.624208
24.85,NEGATIVE,Another latency measurement for consistency check,2025-03-17T19:10:01.794388
28.78,NEGATIVE,Another latency measurement for consistency check,2025-03-17T19:10:01.934161
25.30,NEGATIVE,Another latency measurement for consistency check,2025-03-17T19:10:02.069946
25.08,NEGATIVE,Another latency measurement for consistency check,2025-03-17T19:10:02.186085
25.26,NEGATIVE,Another latency measurement for consistency check,2025-03-17T19:10:02.311905
31.86,NEGATIVE,Another latency measurement for consistency check,2025-03-17T19:10:02.465390
24.67,NEGATIVE,Another latency measurement for consistency check,2025-03-17T19:10:02.634740
24.24,NEGATIVE,Measuring latency under slightly different input,2025-03-17T19:10:02.804952
25.23,NEGATIVE,Measuring latency under slightly different input,2025-03-17T19:10:02.972235
25.04,NEGATIVE,Measuring latency under slightly different input,2025-03-17T19:10:03.111002
28.55,NEGATIVE,Measuring latency under slightly different input,2025-03-17T19:10:03.259716
28.34,NEGATIVE,Measuring latency under slightly different input,2025-03-17T19:10:03.380866
25.06,NEGATIVE,Measuring latency under slightly different input,2025-03-17T19:10:03.566219
26.02,NEGATIVE,Measuring latency under slightly different input,2025-03-17T19:10:03.770431
25.48,NEGATIVE,Measuring latency under slightly different input,2025-03-17T19:10:03.885553
26.55,NEGATIVE,Measuring latency under slightly different input,2025-03-17T19:10:03.992126
27.46,NEGATIVE,Measuring latency under slightly different input,2025-03-17T19:10:04.108698
27.13,NEGATIVE,Latency test with input variation number ${i},2025-03-17T19:10:04.240523
27.30,NEGATIVE,Latency test with input variation number ${i},2025-03-17T19:10:04.392146
28.22,NEGATIVE,Latency test with input variation number ${i},2025-03-17T19:10:04.527964
28.19,NEGATIVE,Latency test with input variation number ${i},2025-03-17T19:10:04.644564
26.46,NEGATIVE,Latency test with input variation number ${i},2025-03-17T19:10:04.769902
28.14,NEGATIVE,Latency test with input variation number ${i},2025-03-17T19:10:04.942418
27.78,NEGATIVE,Latency test with input variation number ${i},2025-03-17T19:10:05.068578
29.40,NEGATIVE,Latency test with input variation number ${i},2025-03-17T19:10:05.225994
27.24,NEGATIVE,Latency test with input variation number ${i},2025-03-17T19:10:05.374700
33.48,NEGATIVE,Latency test with input variation number ${i},2025-03-17T19:10:05.505172
26.33,NEGATIVE,Run ${i} of latency measurement series,2025-03-17T19:10:05.622849
26.34,NEGATIVE,Run ${i} of latency measurement series,2025-03-17T19:10:05.760629
26.33,NEGATIVE,Run ${i} of latency measurement series,2025-03-17T19:10:05.886111
26.02,NEGATIVE,Run ${i} of latency measurement series,2025-03-17T19:10:06.001901
25.51,NEGATIVE,Run ${i} of latency measurement series,2025-03-17T19:10:06.137159
26.39,NEGATIVE,Run ${i} of latency measurement series,2025-03-17T19:10:06.263738
26.10,NEGATIVE,Run ${i} of latency measurement series,2025-03-17T19:10:06.384882
36.71,NEGATIVE,Run ${i} of latency measurement series,2025-03-17T19:10:06.505547
25.59,NEGATIVE,Run ${i} of latency measurement series,2025-03-17T19:10:06.633475
25.83,NEGATIVE,Run ${i} of latency measurement series,2025-03-17T19:10:06.784965
77.03,NEGATIVE,This is a very long sentence designed to test the latency impact of input text length on the LLM inference service We are exploring how the length of the input affects the processing time and overall performance This paragraph is intentionally extended to simulate scenarios where the model needs to handle more substantial amounts of textual data for sentiment analysis We will analyze the latency measurements for these long inputs in comparison to shorter sentences to determine if there is a significant correlation between input length and inference time  Understanding this relationship is crucial for optimizing the service and predicting performance under varying workloads,2025-03-17T19:10:07.322336
28.57,NEGATIVE,This movie felt like the inside of my head,2025-03-17T19:10:07.438919
29.40,NEGATIVE,Bad cheesy acting dumb ending,2025-03-17T19:10:07.565914
26.18,NEGATIVE,Plot is interesting but its not even worth a watch,2025-03-17T19:10:07.687520
25.77,NEGATIVE,It was so terribly made,2025-03-17T19:10:07.820260
26.28,NEGATIVE,Nothing is explained,2025-03-17T19:10:07.944480
24.75,NEGATIVE,The whole journey is pointless,2025-03-17T19:10:08.066985
27.12,POSITIVE,Never seen anyone miss the point so bad,2025-03-17T19:10:08.206754
28.84,NEGATIVE,It was almost admirable how bad they missed it,2025-03-17T19:10:08.324900
26.17,POSITIVE,A movie that has terrible reviews but you enjoy anyway,2025-03-17T19:10:08.431665
34.42,NEGATIVE,What popular film do you think is a complete waste of time,2025-03-17T19:10:08.552386
27.78,NEGATIVE,A movie so terrible you would never waste your time again,2025-03-17T19:10:08.677090
26.89,NEGATIVE,What movie do you think is horrible and overrated,2025-03-17T19:10:08.800813
26.37,NEGATIVE,When I love a movie so much and see negative reviews,2025-03-17T19:10:08.936796
25.23,NEGATIVE,I stop liking it,2025-03-17T19:10:09.070203
25.74,NEGATIVE,Start to feel as if its mediocre,2025-03-17T19:10:09.178823
25.06,NEGATIVE,How do I stop this,2025-03-17T19:10:09.290538
27.14,NEGATIVE,What puts you in a terrible mood,2025-03-17T19:10:09.510518
25.32,NEGATIVE,Its something as non essential,2025-03-17T19:10:09.621559
23.88,NEGATIVE,Actually a horrible explanation,2025-03-17T19:10:09.771662
26.15,NEGATIVE,Felt like the inside of my head,2025-03-17T19:10:09.936549
24.42,NEGATIVE,World of non stop news most of it bad,2025-03-17T19:10:10.098527
23.65,NEGATIVE,How is a person like me,2025-03-17T19:10:10.245070
25.12,NEGATIVE,Trouble understanding everything,2025-03-17T19:10:10.398970
28.80,NEGATIVE,Bad acting,2025-03-17T19:10:10.537730
23.51,NEGATIVE,Dumb ending,2025-03-17T19:10:10.660998
25.33,NEGATIVE,Terribly made,2025-03-17T19:10:10.802550
25.35,NEGATIVE,Not even worth a watch,2025-03-17T19:10:10.916969
24.27,NEGATIVE,Nothing explained,2025-03-17T19:10:11.026260
24.61,NEGATIVE,Pointless journey,2025-03-17T19:10:11.138321
27.82,NEGATIVE,Missed the point so bad,2025-03-17T19:10:11.254269
27.69,NEGATIVE,Almost admirable how bad,2025-03-17T19:10:11.390390
26.82,POSITIVE,Terrible reviews but you enjoy anyway,2025-03-17T19:10:11.527046
26.14,POSITIVE,I absolutely promise not to waste your time,2025-03-17T19:10:11.644637
25.54,POSITIVE,Piece them together with commentary,2025-03-17T19:10:11.784393
26.45,POSITIVE,Make my full reviews here on Medium,2025-03-17T19:10:11.897796
25.02,NEGATIVE,Before they go anywhere else,2025-03-17T19:10:12.013919
23.86,POSITIVE,Enjoyed every minute,2025-03-17T19:10:12.136752
24.41,POSITIVE,Exceeded my expectations,2025-03-17T19:10:12.244938
26.05,POSITIVE,Incredibly friendly and helpful staff,2025-03-17T19:10:12.356024
26.22,POSITIVE,Highly recommend it to everyone,2025-03-17T19:10:12.472413
30.90,POSITIVE,Truly wonderful experience,2025-03-17T19:10:12.616236
25.26,POSITIVE,Extremely satisfied with my purchase,2025-03-17T19:10:12.815119
25.27,POSITIVE,Great value for money,2025-03-17T19:10:12.983842
24.32,POSITIVE,Definitely be returning,2025-03-17T19:10:13.111109
24.67,POSITIVE,Top notch overall experience,2025-03-17T19:10:13.245276
24.39,POSITIVE,Truly exceptional work,2025-03-17T19:10:13.358121
25.82,NEGATIVE,Regretted wasting my time watching it,2025-03-17T19:10:13.511146
27.58,POSITIVE,Far below my expectations,2025-03-17T19:10:13.624474
24.11,NEGATIVE,Awful food rude staff,2025-03-17T19:10:13.747628
25.28,NEGATIVE,Terrible experience all around,2025-03-17T19:10:13.858827
25.12,NEGATIVE,Complete waste of money,2025-03-17T19:10:13.992840
23.38,NEGATIVE,Do not buy it,2025-03-17T19:10:14.110884
28.32,NEGATIVE,Extremely poor quality,2025-03-17T19:10:14.259263
25.93,NEGATIVE,Disaster from beginning to end,2025-03-17T19:10:14.386053
24.71,NEGATIVE,Awful and frustrating,2025-03-17T19:10:14.510162
27.49,NEGATIVE,Extremely dissatisfied,2025-03-17T19:10:14.624439
25.67,NEGATIVE,Never purchase again,2025-03-17T19:10:14.757039
24.55,NEGATIVE,Terrible quality outrageous price,2025-03-17T19:10:14.880327
25.53,NEGATIVE,No value for money,2025-03-17T19:10:15.054291
26.40,NEGATIVE,Strongly advise everyone to avoid,2025-03-17T19:10:15.182799
25.37,NEGATIVE,Unpleasant atmosphere,2025-03-17T19:10:15.308995
24.14,NEGATIVE,Incredibly disappointing experience,2025-03-17T19:10:15.413690
23.93,NEGATIVE,Completely unacceptable work,2025-03-17T19:10:15.524499
27.99,NEGATIVE,Unprofessional result,2025-03-17T19:10:15.639485
32.26,NEGATIVE,While the visuals were stunning the story just didnt grab me at all,2025-03-17T19:10:15.782631
33.15,NEGATIVE,I wanted to love this film but it ended up being quite a letdown in the end,2025-03-17T19:10:15.926053
29.09,NEGATIVE,Despite the hype I found it to be rather mediocre and forgettable to be honest,2025-03-17T19:10:16.056883
28.98,NEGATIVE,The plot was all over the place and the characters felt very underdeveloped,2025-03-17T19:10:16.183339
28.96,NEGATIVE,I went in with high expectations but left feeling utterly disappointed and bored,2025-03-17T19:10:16.340418
29.22,NEGATIVE,Honestly I struggled to stay awake through most of it it was that dull,2025-03-17T19:10:16.467351
35.21,NEGATIVE,The acting was wooden and the dialogue was incredibly cliched and predictable,2025-03-17T19:10:16.596787
31.26,NEGATIVE,I wouldnt recommend this movie to anyone unless you are looking for something to put you to sleep,2025-03-17T19:10:16.721108
27.87,NEGATIVE,A complete waste of time and money I wish I had chosen to watch something else,2025-03-17T19:10:16.872810
31.64,POSITIVE,If you are considering watching this just dont You will thank me later for saving you the trouble,2025-03-17T19:10:17.043731
27.05,NEGATIVE,It had its moments but overall it was just okay nothing special,2025-03-17T19:10:17.192252
27.70,NEGATIVE,Parts of it were good but other parts were quite confusing and dragged on,2025-03-17T19:10:17.354003
28.65,NEGATIVE,I can see why some people liked it but it wasnt really my cup of tea,2025-03-17T19:10:17.477727
36.39,NEGATIVE,Its not the worst movie Ive seen but definitely not the best either somewhere in the middle,2025-03-17T19:10:17.616367
27.53,NEGATIVE,There were some interesting ideas but the execution was lacking and inconsistent,2025-03-17T19:10:17.775431
28.13,NEGATIVE,It had potential but it didnt quite live up to it which is a shame,2025-03-17T19:10:17.931224
28.09,POSITIVE,Its a mixed bag some good aspects some not so good ultimately average,2025-03-17T19:10:18.047227
28.87,POSITIVE,Not terrible but not great either just a very okay movie if you have nothing else to watch,2025-03-17T19:10:18.210697
29.12,NEGATIVE,Its watchable but dont expect to be blown away or remember it for very long,2025-03-17T19:10:18.333482
28.98,NEGATIVE,If you are really bored maybe give it a try otherwise you are not missing much really,2025-03-17T19:10:18.470275
28.87,NEGATIVE,The movie just left me feeling empty you know,2025-03-17T19:10:18.600757
25.21,NEGATIVE,Honestly I was expecting so much more from this film,2025-03-17T19:10:18.722994
26.85,NEGATIVE,What a waste of a perfectly good evening seriously,2025-03-17T19:10:18.850166
27.51,NEGATIVE,I am still trying to figure out what the point of this movie even was,2025-03-17T19:10:18.996416
28.45,NEGATIVE,If I could get those two hours of my life back I would in a heartbeat,2025-03-17T19:10:19.149879
27.49,NEGATIVE,Seriously dont believe the hype its really not worth it trust me,2025-03-17T19:10:19.304837
27.86,NEGATIVE,I am actually kind of annoyed that I spent money on this to be honest,2025-03-17T19:10:19.424434
28.26,NEGATIVE,They really dropped the ball with this one what a disappointment truly,2025-03-17T19:10:19.536544
34.45,NEGATIVE,My expectations were low and somehow it still managed to disappoint me impressive,2025-03-17T19:10:19.676735
29.93,NEGATIVE,I am not even sure how this movie got made it was just so bad on so many levels wow,2025-03-17T19:10:19.791578
